date,code,quant,value
2005-02-09,CAD,1,103.52
2005-02-09,CHF,1,106.4
2005-02-09,CNY,1,15.7
2005-02-09,EUR,1,166.01
2005-02-09,GBP,1,241.18
2005-02-09,JPY,10,12.33
2005-02-09,KGS,1,3.16
2005-02-09,NOK,1,19.91
2005-02-09,RUB,1,4.61
2005-02-09,TRY,1,98.38
2005-02-09,USD,1,129.98
2005-02-09,UZS,1,0.12
2005-02-09,ZAR,1,20.9
2005-02-10,AUD,1,99.86
2005-02-10,BYN,1,0.06
2005-02-10,CAD,1,104.34
2005-02-10,CHF,1,106.79
2005-02-10,CNY,1,15.73
2005-02-10,EUR,1,166.21
2005-02-10,GBP,1,241.8
2005-02-10,JPY,10,12.32
2005-02-10,KGS,1,3.17
2005-02-10,NOK,1,19.87
2005-02-10,RUB,1,4.63
2005-02-10,TRY,1,98.26
2005-02-10,USD,1,130.19
2005-02-10,UZS,1,0.12
2005-02-10,ZAR,1,20.85
2005-02-11,AUD,1,100.93
2005-02-11,BYN,1,0.06
2005-02-11,CAD,1,104.07
2005-02-11,CHF,1,106.86
2005-02-11,CNY,1,15.7
2005-02-11,EUR,1,166.32
2005-02-11,GBP,1,241.71
2005-02-11,JPY,10,12.3
2005-02-11,KGS,1,3.16
2005-02-11,NOK,1,19.81
2005-02-11,RUB,1,4.63
2005-02-11,TRY,1,97.03
2005-02-11,USD,1,129.97
2005-02-11,UZS,1,0.12
2005-02-11,ZAR,1,20.92
2005-02-12,AUD,1,101.74
2005-02-12,BYN,1,0.06
2005-02-12,CAD,1,104.7
2005-02-12,CHF,1,107.52
2005-02-12,CNY,1,15.7
2005-02-12,EUR,1,167.23
2005-02-12,GBP,1,242.98
2005-02-12,JPY,10,12.31
2005-02-12,KGS,1,3.16
2005-02-12,NOK,1,19.84
2005-02-12,RUB,1,4.63
2005-02-12,TRY,1,98.54
2005-02-12,USD,1,129.97
2005-02-12,UZS,1,0.12
2005-02-12,ZAR,1,21.25
2005-02-13,AUD,1,101.74
2005-02-13,BYN,1,0.06
2005-02-13,CAD,1,104.7
2005-02-13,CHF,1,107.52
2005-02-13,CNY,1,15.7
2005-02-13,EUR,1,167.23
2005-02-13,GBP,1,242.98
2005-02-13,JPY,10,12.31
2005-02-13,KGS,1,3.16
2005-02-13,NOK,1,19.84
2005-02-13,RUB,1,4.63
2005-02-13,TRY,1,98.54
2005-02-13,USD,1,129.97
2005-02-13,UZS,1,0.12
2005-02-13,ZAR,1,21.25
2005-02-14,AUD,1,101.74
2005-02-14,BYN,1,0.06
2005-02-14,CAD,1,104.7
2005-02-14,CHF,1,107.52
2005-02-14,CNY,1,15.7
2005-02-14,EUR,1,167.23
2005-02-14,GBP,1,242.98
2005-02-14,JPY,10,12.31
2005-02-14,KGS,1,3.16
2005-02-14,NOK,1,19.84
2005-02-14,RUB,1,4.63
2005-02-14,TRY,1,98.54
2005-02-14,USD,1,129.97
2005-02-14,UZS,1,0.12
2005-02-14,ZAR,1,21.25
2005-02-15,AUD,1,102.44
2005-02-15,BYN,1,0.06
2005-02-15,CAD,1,105.74
2005-02-15,CHF,1,108.75
2005-02-15,CNY,1,15.74
2005-02-15,EUR,1,168.93
2005-02-15,GBP,1,245.17
2005-02-15,JPY,10,12.43
2005-02-15,KGS,1,3.16
2005-02-15,NOK,1,20.07
2005-02-15,RUB,1,4.65
2005-02-15,TRY,1,99.24
2005-02-15,USD,1,130.25
2005-02-15,UZS,1,0.12
2005-02-15,ZAR,1,21.52
2005-02-16,AUD,1,102.55
2005-02-16,BYN,1,0.06
2005-02-16,CAD,1,105.87
2005-02-16,CHF,1,109.22
2005-02-16,CNY,1,15.77
2005-02-16,EUR,1,169.4
2005-02-16,GBP,1,246.54
2005-02-16,JPY,10,12.43
2005-02-16,KGS,1,3.16
2005-02-16,NOK,1,20.21
2005-02-16,RUB,1,4.66
2005-02-16,TRY,1,99.81
2005-02-16,USD,1,130.55
2005-02-16,UZS,1,0.12
2005-02-16,ZAR,1,21.63
2005-02-17,AUD,1,102.24
2005-02-17,BYN,1,0.06
2005-02-17,CAD,1,106.0
2005-02-17,CHF,1,109.82
2005-02-17,CNY,1,15.78
2005-02-17,EUR,1,169.9
2005-02-17,GBP,1,247.06
2005-02-17,JPY,10,12.42
2005-02-17,KGS,1,3.16
2005-02-17,NOK,1,20.31
2005-02-17,RUB,1,4.66
2005-02-17,TRY,1,99.69
2005-02-17,USD,1,130.59
2005-02-17,UZS,1,0.12
2005-02-17,ZAR,1,21.9
2005-02-18,AUD,1,102.61
2005-02-18,BYN,1,0.06
2005-02-18,CAD,1,105.54
2005-02-18,CHF,1,110.04
2005-02-18,CNY,1,15.76
2005-02-18,EUR,1,170.2
2005-02-18,GBP,1,246.32
2005-02-18,JPY,10,12.38
2005-02-18,KGS,1,3.16
2005-02-18,NOK,1,20.34
2005-02-18,RUB,1,4.66
2005-02-18,TRY,1,99.38
2005-02-18,USD,1,130.41
2005-02-18,UZS,1,0.12
2005-02-18,ZAR,1,21.89
2005-02-19,AUD,1,102.19
2005-02-19,BYN,1,0.06
2005-02-19,CAD,1,105.8
2005-02-19,CHF,1,109.89
2005-02-19,CNY,1,15.71
2005-02-19,EUR,1,169.96
2005-02-19,GBP,1,246.47
2005-02-19,JPY,10,12.35
2005-02-19,KGS,1,3.15
2005-02-19,NOK,1,20.47
2005-02-19,RUB,1,4.66
2005-02-19,TRY,1,99.62
2005-02-19,USD,1,130.05
2005-02-19,UZS,1,0.12
2005-02-19,ZAR,1,21.91
2005-02-20,AUD,1,102.19
2005-02-20,BYN,1,0.06
2005-02-20,CAD,1,105.8
2005-02-20,CHF,1,109.89
2005-02-20,CNY,1,15.71
2005-02-20,EUR,1,169.96
2005-02-20,GBP,1,246.47
2005-02-20,JPY,10,12.35
2005-02-20,KGS,1,3.15
2005-02-20,NOK,1,20.47
2005-02-20,RUB,1,4.66
2005-02-20,TRY,1,99.62
2005-02-20,USD,1,130.05
2005-02-20,UZS,1,0.12
2005-02-20,ZAR,1,21.91
2005-02-21,AUD,1,102.19
2005-02-21,BYN,1,0.06
2005-02-21,CAD,1,105.8
2005-02-21,CHF,1,109.89
