date,code,name_ru,quant,value,change
2021-05-12,TRY,ТУРЕЦКАЯ ЛИРА,1,51.48,+0.12
2021-05-12,UZS,УЗБЕКСКИХ СУМОВ,100,4.07,0.00
2021-05-12,UAH,УКРАИНСКАЯ ГРИВНА,1,15.45,+0.06
2021-05-12,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,603.83,+9.63
2021-05-12,CZK,ЧЕШСКАЯ КРОНА,1,20.35,+0.44
2021-05-12,SEK,ШВЕДСКАЯ КРОНА,1,51.39,+0.89
2021-05-12,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,473.58,+4.10
2021-05-12,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,30.61,+0.67
2021-05-12,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,38.21,+0.19
2021-05-12,JPY,ЯПОНСКАЯ ЙЕНА,1,3.93,+0.02
2021-05-13,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,332.56,-2.64
2021-05-13,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,251.71,-0.63
2021-05-13,AMD,АРМЯНСКИЙ ДРАМ,10,8.18,-0.01
2021-05-13,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,168.65,-0.05
2021-05-13,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,81.6,-0.18
2021-05-13,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.45,-0.05
2021-05-13,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,54.87,-0.13
2021-05-13,GEL,ГРУЗИНСКИЙ ЛАРИ,1,124.97,-0.31
2021-05-13,DKK,ДАТСКАЯ КРОНА,1,69.55,-0.36
2021-05-13,AED,ДИРХАМ ОАЭ,1,116.03,-0.29
2021-05-13,USD,ДОЛЛАР США,1,426.14,-1.08
2021-05-13,EUR,ЕВРО,1,517.08,-2.63
2021-05-13,INR,ИНДИЙСКАЯ РУПИЯ,1,5.8,-0.03
2021-05-13,IRR,ИРАНСКИЙ РИАЛ,1000,10.1,-0.10
2021-05-13,CAD,КАНАДСКИЙ ДОЛЛАР,1,352.62,-0.45
2021-05-13,CNY,КИТАЙСКИЙ ЮАНЬ,1,66.17,-0.35
2021-05-13,KWD,КУВЕЙТСКИЙ ДИНАР,1,1417.25,-3.03
2021-05-13,KGS,КЫРГЫЗСКИЙ СОМ,1,5.03,-0.01
2021-05-13,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.36,-0.43
2021-05-13,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.32,-0.18
2021-05-13,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.17,+0.03
2021-05-13,NOK,НОРВЕЖСКАЯ КРОНА,1,51.59,-0.26
2021-05-13,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,113.88,-0.26
2021-05-13,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,113.63,-0.29
2021-05-13,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.74,-0.04
2021-05-13,XDR,СДР,1,614.51,-1.72
2021-05-13,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,320.77,-1.39
2021-05-13,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.68,-0.09
2021-05-13,THB,ТАЙСКИЙ БАТ,1,13.65,-0.09
2021-05-13,TRY,ТУРЕЦКАЯ ЛИРА,1,51.2,-0.28
2021-05-13,UZS,УЗБЕКСКИХ СУМОВ,100,4.04,-0.03
2021-05-13,UAH,УКРАИНСКАЯ ГРИВНА,1,15.41,-0.04
2021-05-13,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,602.35,-1.48
2021-05-13,CZK,ЧЕШСКАЯ КРОНА,1,20.25,-0.10
2021-05-13,SEK,ШВЕДСКАЯ КРОНА,1,51.16,-0.23
2021-05-13,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,471.6,-1.98
2021-05-13,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,30.42,-0.19
2021-05-13,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,37.86,-0.35
2021-05-13,JPY,ЯПОНСКАЯ ЙЕНА,1,3.92,-0.01
2021-05-14,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,329.3,-3.26
2021-05-14,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,252.54,+0.83
2021-05-14,AMD,АРМЯНСКИЙ ДРАМ,10,8.2,+0.02
2021-05-14,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,168.91,+0.26
2021-05-14,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,80.61,-0.99
2021-05-14,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.45,0.00
2021-05-14,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,55.05,+0.18
2021-05-14,GEL,ГРУЗИНСКИЙ ЛАРИ,1,125.49,+0.52
2021-05-14,DKK,ДАТСКАЯ КРОНА,1,69.38,-0.17
2021-05-14,AED,ДИРХАМ ОАЭ,1,116.41,+0.38
2021-05-14,USD,ДОЛЛАР США,1,427.55,+1.41
2021-05-14,EUR,ЕВРО,1,515.84,-1.24
2021-05-14,INR,ИНДИЙСКАЯ РУПИЯ,1,5.81,+0.01
2021-05-14,IRR,ИРАНСКИЙ РИАЛ,1000,10.2,+0.10
2021-05-14,CAD,КАНАДСКИЙ ДОЛЛАР,1,352.42,-0.20
2021-05-14,CNY,КИТАЙСКИЙ ЮАНЬ,1,66.24,+0.07
2021-05-14,KWD,КУВЕЙТСКИЙ ДИНАР,1,1421.42,+4.17
2021-05-14,KGS,КЫРГЫЗСКИЙ СОМ,1,5.05,+0.02
2021-05-14,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.7,+0.34
2021-05-14,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.22,-0.10
2021-05-14,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.25,+0.08
